date,value,GPD_per_capita,eu_prod_index
11/12/11,949248.1452,54230.3129,99.1
11/13/11,1023854.341,54230.3129,99.1
11/14/11,702772.525,54230.3129,99.1
11/15/11,722324.0702,54230.3129,99.1
11/16/11,711286.8981,54230.3129,99.1
11/17/11,751191.6932,54230.3129,99.1
11/18/11,835025.1282,54230.3129,99.1
11/19/11,900182.794,54230.3129,99.1
11/20/11,969628.7204,54230.3129,99.1
11/21/11,734734.282,54230.3129,99.1
11/22/11,711283.7137,54230.3129,99.1
11/23/11,732801.3987,54230.3129,99.1
11/24/11,706800.939,54230.3129,99.1
11/25/11,822993.425,54230.3129,99.1
11/26/11,984256.9115,54230.3129,99.1
11/27/11,968971.481,54230.3129,99.1
11/28/11,721657.5753,54230.3129,99.1
11/29/11,727867.0818,54230.3129,99.1
11/30/11,740006.8197,54230.3129,99.1
12/1/11,726043.1902,54230.3129,98.5
12/2/11,882535.014,54230.3129,98.5
12/3/11,942974.0317,54230.3129,98.5
12/4/11,949826.4783,54230.3129,98.5
12/5/11,738054.7337,54230.3129,98.5
12/6/11,722787.0979,54230.3129,98.5
12/7/11,687356.8786,54230.3129,98.5
12/8/11,755859.3634,54230.3129,98.5
12/9/11,867048.1279,54230.3129,98.5
12/10/11,1017190.361,54230.3129,98.5
12/11/11,1010300.44,54230.3129,98.5
12/12/11,729420.9793,54230.3129,98.5
12/13/11,805581.4098,54230.3129,98.5
12/14/11,757007.7226,54230.3129,98.5
12/15/11,747756.1461,54230.3129,98.5
12/16/11,869407.7974,54230.3129,98.5
12/17/11,954426.6595,54230.3129,98.5
12/18/11,989787.8165,54230.3129,98.5
12/19/11,774018.2504,54230.3129,98.5
12/20/11,761157.6267,54230.3129,98.5
12/21/11,761736.4293,54230.3129,98.5
12/22/11,764312.5768,54230.3129,98.5
12/23/11,896927.0052,54230.3129,98.5
12/24/11,1019109.894,54230.3129,98.5
12/25/11,1170188.836,54230.3129,98.5
12/26/11,1083731.871,54230.3129,98.5
12/27/11,1402724.353,54230.3129,98.5
12/28/11,1806050.293,54230.3129,98.5
12/29/11,2251054.594,54230.3129,98.5
12/30/11,2600096.324,54230.3129,98.5
12/31/11,2646418.499,54230.3129,98.5
1/1/12,1915398.407,50070.1416,97.8
1/2/12,1103604.49,50070.1416,97.8
1/3/12,857330.7413,50070.1416,97.8
1/4/12,828629.4379,50070.1416,97.8
1/5/12,860688.7055,50070.1416,97.8
1/6/12,1040721.584,50070.1416,97.8
1/7/12,1025593.39,50070.1416,97.8
1/8/12,955526.5279,50070.1416,97.8
1/9/12,772201.0375,50070.1416,97.8
1/10/12,732587.3828,50070.1416,97.8
1/11/12,738287.8846,50070.1416,97.8
1/12/12,708304.3447,50070.1416,97.8
1/13/12,795918.3566,50070.1416,97.8
1/14/12,988243.9103,50070.1416,97.8
1/15/12,978383.9306,50070.1416,97.8
1/16/12,777740.6912,50070.1416,97.8
1/17/12,741827.0368,50070.1416,97.8
1/18/12,686134.5099,50070.1416,97.8
1/19/12,725080.0762,50070.1416,97.8
1/20/12,850974.2034,50070.1416,97.8
1/21/12,941862.2817,50070.1416,97.8
1/22/12,973754.286,50070.1416,97.8
1/23/12,736920.6496,50070.1416,97.8
1/24/12,729752.8492,50070.1416,97.8
1/25/12,741423.1514,50070.1416,97.8
1/26/12,756648.7942,50070.1416,97.8
1/27/12,853092.0298,50070.1416,97.8
1/28/12,971989.2683,50070.1416,97.8
1/29/12,982507.9959,50070.1416,97.8
1/30/12,737813.611,50070.1416,97.8
1/31/12,720687.9136,50070.1416,97.8
2/1/12,747610.5558,50070.1416,98.4
2/2/12,745651.7233,50070.1416,98.4
2/3/12,891817.6996,50070.1416,98.4
2/4/12,987677.0607,50070.1416,98.4
2/5/12,1023510.214,50070.1416,98.4
2/6/12,744848.553,50070.1416,98.4
2/7/12,756467.1763,50070.1416,98.4
2/8/12,790630.9737,50070.1416,98.4
2/9/12,731277.3539,50070.1416,98.4
2/10/12,897422.8893,50070.1416,98.4
2/11/12,986601.2607,50070.1416,98.4
2/12/12,975635.7784,50070.1416,98.4
2/13/12,751467.4469,50070.1416,98.4
2/14/12,770389.2738,50070.1416,98.4
2/15/12,742583.3539,50070.1416,98.4
2/16/12,748614.7205,50070.1416,98.4
2/17/12,919055.9297,50070.1416,98.4
2/18/12,1040339.563,50070.1416,98.4
2/19/12,995200.3829,50070.1416,98.4
2/20/12,781468.545,50070.1416,98.4
2/21/12,754945.67,50070.1416,98.4
2/22/12,776755.4258,50070.1416,98.4
2/23/12,756424.7729,50070.1416,98.4
2/24/12,882950.9215,50070.1416,98.4
2/25/12,1026651.32,50070.1416,98.4
2/26/12,1027394.741,50070.1416,98.4
2/27/12,725047.2334,50070.1416,98.4
2/28/12,765892.4723,50070.1416,98.4
