Trial,refitting_cycle,process_time_s,real_time_s,params,note
108,,nan,nan,"{'standardize_X': True, 'alpha_1': 394.28234576650203, 'alpha_2': 15.586594080226513, 'lambda_1': 0.1, 'lambda_2': 1e-06, 'threshold_lambda': 1000.0}",pruned
109,,nan,nan,"{'standardize_X': False, 'alpha_1': 561.6756355258826, 'alpha_2': 307.59674764814736, 'lambda_1': 10, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",pruned
110,,nan,nan,"{'standardize_X': True, 'alpha_1': 798.1332330014997, 'alpha_2': 83.24827480256434, 'lambda_1': 1, 'lambda_2': 1e-05, 'threshold_lambda': 100000.0}",pruned
111,,1.0719529999999935,0.5148038864135742,"{'standardize_X': True, 'alpha_1': 326.0827694156919, 'alpha_2': 104.84427515632733, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
112,,1.0392920000000174,0.4919271469116211,"{'standardize_X': True, 'alpha_1': 397.92354902311274, 'alpha_2': 80.7122970061543, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
113,,1.102687000000003,0.5136208534240723,"{'standardize_X': True, 'alpha_1': 271.82772420460986, 'alpha_2': 48.794719078113935, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
114,,1.0628820000000019,0.5122408866882324,"{'standardize_X': True, 'alpha_1': 435.49088787158934, 'alpha_2': 155.19163381272398, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
115,,1.1813359999999875,0.5405380725860596,"{'standardize_X': True, 'alpha_1': 185.13495903932417, 'alpha_2': 206.00253467781695, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
116,,nan,nan,"{'standardize_X': True, 'alpha_1': 473.4663020695864, 'alpha_2': 135.980467785781, 'lambda_1': 1e-06, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",pruned
117,,0.9279889999999966,0.4630091190338135,"{'standardize_X': True, 'alpha_1': 605.5775240388954, 'alpha_2': 335.0416159772755, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",successful
118,,0.8743020000000001,0.4572420120239258,"{'standardize_X': True, 'alpha_1': 615.2295937542546, 'alpha_2': 452.84068989932786, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",successful
119,,nan,nan,"{'standardize_X': True, 'alpha_1': 626.9025688145894, 'alpha_2': 444.35005220190794, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",pruned
120,,0.8204039999999964,0.41977500915527344,"{'standardize_X': True, 'alpha_1': 862.3488563149209, 'alpha_2': 392.68493562023514, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",successful
121,,0.8262569999999982,0.4248208999633789,"{'standardize_X': True, 'alpha_1': 421.8131152782926, 'alpha_2': 292.45074553333797, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",successful
122,,nan,nan,"{'standardize_X': True, 'alpha_1': 569.689684664274, 'alpha_2': 623.4451123835472, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",pruned
123,,nan,nan,"{'standardize_X': True, 'alpha_1': 248.79906008278883, 'alpha_2': 218.80839413586142, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",pruned
124,,nan,nan,"{'standardize_X': True, 'alpha_1': 746.7230123983583, 'alpha_2': 163.55835181401906, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",pruned
125,,1.1053019999999947,0.7153410911560059,"{'standardize_X': True, 'alpha_1': 968.279377489574, 'alpha_2': 487.59253299000187, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100.0}",successful
126,,1.2026250000000118,0.5539240837097168,"{'standardize_X': True, 'alpha_1': 106.54252798508215, 'alpha_2': 308.18720099682787, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
